date,open,high,low,close,volume
2019-01-02,130.53,131.29,127.02,128.96,6918554.0
2019-01-03,128.61,128.61,121.84,122.88,11204284.0
2019-01-04,120.87,125.53,120.18,123.14,10628291.0
2019-01-07,123.74,126.33,122.68,125.29,8527659.0
2019-01-08,124.69,129.18,124.52,128.53,6179486.0
2019-01-09,128.55,134.91,128.42,131.33,12735112.0
2019-01-10,131.25,132.41,128.96,129.61,6127145.0
2019-01-11,130.28,131.55,128.9,130.86,6314091.0
2019-01-14,129.71,130.77,126.07,126.37,5494164.0
2019-01-15,126.8,131.44,126.8,131.07,9366754.0
2019-01-16,131.53,132.58,129.39,131.83,6866135.0
2019-01-17,131.89,131.89,130.36,131.12,4318003.0
2019-01-18,126.37,129.28,122.92,128.16,22108460.0
2019-01-21,128.36,130.04,127.84,129.11,10890812.0
2019-01-22,129.35,129.35,125.92,127.02,6679861.0
2019-01-23,127.56,128.53,126.16,127.47,4017503.0
2019-01-24,114.96,121.02,114.96,120.77,29959512.0
2019-01-25,119.15,123.16,118.74,121.69,11474568.0
2019-01-28,121.84,122.86,117.9,118.61,15847133.0
2019-01-29,117.9,120.87,117.53,120.48,9153897.0
2019-01-30,120.33,120.33,116.47,117.31,16884343.0
2019-01-31,116.88,118.29,115.05,117.53,11352476.0
2019-02-01,118.18,118.39,115.37,117.53,14050037.0
2019-02-11,117.62,126.33,117.62,125.29,17199642.0
2019-02-12,124.65,126.8,123.57,125.47,9422177.0
2019-02-13,125.47,130.15,125.47,129.39,13280446.0
2019-02-14,129.78,134.74,128.49,133.34,12284213.0
2019-02-15,133.06,134.48,128.08,128.55,11697514.0
2019-02-18,130.17,132.56,130.04,132.13,11972979.0
2019-02-19,131.59,134.09,131.22,132.63,8757951.0
2019-02-20,132.63,136.96,132.63,134.67,9121431.0
2019-02-21,134.67,136.57,133.27,134.83,7667922.0
2019-02-22,135.0,135.86,132.0,135.71,7302646.0
2019-02-25,135.86,140.0,134.16,139.68,15092187.0
2019-02-26,139.66,142.42,133.7,134.46,15125441.0
2019-02-27,134.57,138.49,134.48,136.03,11681747.0
2019-02-28,135.86,139.29,135.0,137.59,7263842.0
2019-03-01,139.31,141.36,136.36,138.99,8863740.0
2019-03-04,140.13,142.22,136.51,137.43,14873612.0
2019-03-05,136.9,138.02,131.96,134.57,19371898.0
2019-03-06,134.52,134.57,131.05,132.99,17115215.0
2019-03-07,132.63,132.95,130.92,132.63,11511394.0
2019-03-08,130.51,131.55,126.5,128.42,23025622.0
2019-03-11,129.18,131.61,129.18,131.55,11719280.0
2019-03-12,133.7,133.7,129.24,129.69,16005273.0
2019-03-13,129.78,131.29,128.1,129.24,10541871.0
2019-03-14,129.39,131.22,129.24,129.69,7739611.0
2019-03-15,130.62,132.37,129.39,131.44,12581518.0
2019-03-18,131.44,135.86,130.47,135.65,17444614.0
2019-03-19,136.29,137.28,135.0,135.62,10845312.0
2019-03-20,135.77,138.43,135.19,137.37,12557768.0
2019-03-21,136.9,138.45,134.03,137.8,11170875.0
2019-03-22,137.35,141.64,136.59,138.56,11857866.0
2019-03-25,135.86,136.79,134.24,135.02,14200026.0
2019-03-26,135.71,138.02,135.65,137.26,9594146.0
2019-03-27,138.34,141.27,137.41,141.19,14916564.0
2019-03-28,141.38,150.4,140.22,146.19,23469097.0
2019-03-29,146.38,153.5,146.38,151.13,18331478.0
2019-04-01,153.11,158.72,150.65,150.91,16097115.0
2019-04-02,151.71,153.7,149.43,151.86,9524192.0
2019-04-03,151.82,155.68,150.63,154.45,8494441.0
2019-04-04,154.41,156.71,152.44,156.02,6634519.0
2019-04-08,155.25,160.29,152.85,155.51,11504617.0
2019-04-09,155.27,159.0,155.25,157.92,7351037.0
2019-04-10,158.25,158.29,153.35,156.13,8600421.0
2019-04-11,156.48,160.25,153.57,155.81,11294139.0
2019-04-12,155.66,158.61,152.49,153.93,9056772.0
2019-04-15,156.99,162.82,156.97,157.23,11880564.0
2019-04-16,156.43,161.03,156.43,161.03,11847707.0
2019-04-17,161.44,164.28,159.63,164.28,9750656.0
2019-04-18,163.25,169.07,163.14,168.7,7996896.0
2019-04-19,169.01,171.01,164.2,169.59,6165460.0
2019-04-22,168.21,172.84,166.53,168.21,6382178.0
2019-04-23,168.21,171.44,166.91,166.91,10577878.0
2019-04-24,168.06,170.69,166.94,170.0,8248143.0
2019-04-25,168.75,173.25,168.64,171.06,8051521.0
2019-04-26,169.93,171.96,163.14,166.7,11997205.0
2019-04-29,169.61,174.42,166.68,172.48,14415957.0
2019-04-30,171.55,171.98,166.35,167.11,10092568.0
2019-05-06,161.74,165.84,159.58,163.92,15240120.0
2019-05-07,163.92,167.56,161.48,164.76,17722699.0
2019-05-08,163.16,165.3,157.43,158.31,8097684.0
2019-05-09,156.69,161.14,154.0,158.83,12719536.0
2019-05-10,159.69,168.38,159.58,166.38,12588193.0
2019-05-13,164.93,169.89,164.22,166.1,6453329.0
2019-05-14,163.46,166.05,161.31,162.06,9865284.0
2019-05-15,163.9,168.49,161.52,167.78,7993079.0
2019-05-16,168.17,170.45,166.59,170.36,9134629.0
2019-05-17,170.8,171.12,166.01,166.46,8127470.0
2019-05-20,164.87,166.03,160.66,163.92,8242253.0
2019-05-21,164.63,168.25,164.11,164.59,7935897.0
2019-05-22,165.38,168.21,163.46,165.99,7595070.0
2019-05-23,164.97,165.81,160.98,162.45,7033945.0
2019-05-24,163.03,165.69,161.74,162.39,4762840.0
2019-05-27,162.06,164.39,158.22,163.44,7121189.0
2019-05-28,163.68,169.05,163.03,168.21,9673800.0
2019-05-29,166.05,167.04,164.22,165.4,6982346.0
2019-05-30,165.3,166.25,162.39,163.51,7094180.0
2019-05-31,164.33,168.42,162.86,166.89,7838258.0
2019-06-03,166.87,169.14,163.66,165.23,6773053.0
2019-06-04,165.0,166.05,161.95,163.25,5962995.0
2019-06-05,164.52,164.97,160.47,160.77,5938424.0
2019-06-06,161.89,162.8,158.37,159.43,7469753.0
2019-06-10,160.79,164.97,159.63,163.77,6119269.0
2019-06-11,164.59,170.32,164.59,169.72,10730225.0
2019-06-12,169.61,170.71,168.32,170.47,5999056.0
2019-06-13,170.69,170.8,167.71,169.29,4601788.0
2019-06-14,170.34,175.97,170.11,171.36,8392011.0
2019-06-17,172.35,176.96,171.49,175.32,7765397.0
2019-06-18,175.54,175.93,172.07,172.59,5538518.0
2019-06-19,175.71,178.95,174.42,178.28,8406712.0
